Ticari İsim,Etken Madde,Formulasyon,Kategori ID
FLORGIB 100 OD (İTHAL),100 g/l Gibberellic acid,OD (Yağda Dağılabilen),6
PROPESTGAS (İTHAL),"%99,8 Sulfuryl Fluoride",GA (Gaz),6
APHET (İTHAL),200 g/l Penthiopyrad,SC (Akıcı Konsantre/Süspansiyon Konsantre),6
KASTİLL (İMAL),650 g/l Malathion,EC (Emülsiye Olabilen Konsantre),6
COLZOR 540 EC (İTHAL),500 g/l Dimethachlor + 40 g/l Clomazone,EC (Emülsiye Olabilen Konsantre),6
PİNOVA DE (İMAL),240 g/l Methoxyfenozide,SC (Akıcı Konsantre/Süspansiyon Konsantre),6
VAPTAK (İTHAL),100 g/l Alpha-cypermethrin,EC (Emülsiye Olabilen Konsantre),6
AVASTRA 200 SL (İMAL),200 g/l Glufosinate-ammonium tuzu,SL (Suda Çözünen Konsantre),6
ROSETTA (İMAL),200 g/l Esfenvalerate,EC (Emülsiye Olabilen Konsantre),6
DRİVEFASTER WG (İMAL),%25 Spinetoram,WG (Suda Dağılabilen Granül),6
DIDYMME 125 FS (İMAL),"75 g/l Azoxystrobin + 37,5 g/l Metalaxyl-m + 12,5 g/l Fludioxonil",FS (Tohum İlaçlaması İçin Akıcı Konsantre),6
BENEVENTO (İTHAL),"%30 Cymoxanil + %22,5 Famoxadone",WG (Suda Dağılabilen Granül),6
SAFA KOMPEDAN 85 WG (İMAL),"%7,08 Pyroxsulam + %1,42 Florasulam + %7,08 Cloquintocet-mexyl (safener)",WG (Suda Dağılabilen Granül),6
KORNİLOFOS 50 EC (İMAL),500 g/l Pirimiphos methyl,EC (Emülsiye Olabilen Konsantre),6
QUELEX 200 WG (İTHAL),"10,42%(10ae%) Halauxifen-methyl + %10 Florasulam + %7,08 Cloquintocet-acid (Safener)",WG (Suda Dağılabilen Granül),6
DELPHOS (İMAL),240 g/l Tau-fluvalinate,SC (Akıcı Konsantre/Süspansiyon Konsantre),6
SİTİLO (İMAL),480 g/l Spinosad,SC (Akıcı Konsantre/Süspansiyon Konsantre),6
BELLAGİO (İMAL),240 g/l Methoxyfenozide,SC (Akıcı Konsantre/Süspansiyon Konsantre),6
AGRIPRO (İMAL),200 g/l Glufosinate-ammonium tuzu,SL (Suda Çözünen Konsantre),6
AGNUPAN 70 WP (İTHAL),%70 Metribuzin,WP (Islanabilir Toz),6
SHIKARI (İTHAL),%42 Metribuzin + %12 Clodinafop-Propargyl + %3 Cloquintocet-mexyl (Safener),WG (Suda Dağılabilen Granül),6
CUTOFF 50 WG (İMAL),%50 Trifloxystrobin,WG (Suda Dağılabilen Granül),6
MALCARA 76 WG (İMAL),%76 Ziram,WG (Suda Dağılabilen Granül),6
AGNOTORİN 150 EC (İMAL),150 g/l Fosthiazate,EC (Emülsiye Olabilen Konsantre),6
KORTHIAZATE 150 EC (İMAL),150 g/l Fosthiazate,EC (Emülsiye Olabilen Konsantre),6
SANCTUM (İTHAL),"800 g/l Malathion + 12,8 g/l Gamma-cyhalothrin",EC (Emülsiye Olabilen Konsantre),6
CALİXA (İMAL),240 g/l Metaflumizone,SC (Akıcı Konsantre/Süspansiyon Konsantre),6
SİRYUS 240 SC (İTHAL),240 g/l Methoxyfenozide,SC (Akıcı Konsantre/Süspansiyon Konsantre),6
CAZMA (İMAL),150 g/l Teflubenzuron,SC (Akıcı Konsantre/Süspansiyon Konsantre),6
OFFSIDE 240 SC (İMAL),240 g/l Metaflumizone,SC (Akıcı Konsantre/Süspansiyon Konsantre),6
SEDPRİN (İMAL),350 g/l Metalaxyl-m,ES (Emülsiyon Tohum İlacı),6
HARLEM 40 SL (İMAL),40 g/l Imazamox,SL (Suda Çözünen Konsantre),6
GRANAS SC (İMAL),250 g/l Glyphosate asite eşdeğer Glyphosate Isopropylamin Tuzu + 40 g/l Diflufenican,SC (Akıcı Konsantre/Süspansiyon Konsantre),6
AQUA BORDO (İMAL),124 g/l Metalik bakıra eşdeğer bordo bulamacı,SC (Akıcı Konsantre/Süspansiyon Konsantre),6
UDORA 4 OD (İTHAL),40 g/l Nicosulfuron,OD (Yağda Dağılabilen),6
BLOCHER (İMAL),480 g/l Glyphosate Isopropylamin Tuzu,SL (Suda Çözünen Konsantre),6
KIRNAPP 400 SC (İMAL),400 g/l Buprofezin,SC (Akıcı Konsantre/Süspansiyon Konsantre),6
MYSTIC PRO 500 EC (İTHAL),300 g/l Prochloraz+ 200 g/l Tebuconazole,EC (Emülsiye Olabilen Konsantre),6
CUBOX SC (İMAL),"65,82 g/l Metalik bakıra eşdeğer bakır sülfat",SC (Akıcı Konsantre/Süspansiyon Konsantre),6
EFDAL APLANT (İMAL),45 g/l Pinoxaden + 20 g/l Cloquintocet-mexyl (safener),EC (Emülsiye Olabilen Konsantre),6
GALİLEO (İMAL),240 g/l Oxyfluorfen,EC (Emülsiye Olabilen Konsantre),6
"Boldist 2,5 EC (İMAL)",25 g/l Deltamethrin,EC (Emülsiye Olabilen Konsantre),6
KURATOR 18-15 (İTHAL),%18 Fosetyl-Al + %15 Metalik Bakıra Eşdeğer Bordo Bulamacı,WP (Islanabilir Toz),6
SCUBA 80 WG (İMAL),%80 Kükürt,WG (Suda Dağılabilen Granül),6
DERRİS (İMAL),"%25,2 Boscalid + %12,8 Pyraclostrobin",WG (Suda Dağılabilen Granül),6
EXPLORE 500 SL (İTHAL),500 g/l Metam Sodium,SL (Suda Çözünen Konsantre),6
ERVANDO CS (İMAL),50 g/l Lambda-cyhalothrin,CS (Kapsül Süspansiyon),6
AVERUT (İMAL),150 g/l Indoxacarb,SC (Akıcı Konsantre/Süspansiyon Konsantre),6
CONSOLOS 20 EC (İMAL),200 g/l Esfenvalerate,EC (Emülsiye Olabilen Konsantre),6
VEMİPHOS 10 G (İTHAL),%10 Fosthiazate,GR (Granül),6
CROTONE (İMAL),"625 g/l Propamocarb-hydrochloride + 62,5 g/l Fluopicolide",SC (Akıcı Konsantre/Süspansiyon Konsantre),6
MAXICURE (İMAL),100 g/l Buprofezin + 20 g/l Lambda-cyhalothrin,SC (Akıcı Konsantre/Süspansiyon Konsantre),6
PUNZİX EC (İMAL),250 g/l Cypermethrin,EC (Emülsiye Olabilen Konsantre),6
TROGEN (İTHAL),25 g/l Ipconazole + 20 g/l Metalaxyl,ME (Mikro-Emülsiyon),6
GRAINPHOS TB (İTHAL),%57 Aluminium phosphide,DT (Direkt Uygulama İçin Tablet),6
MANOHAR (İTHAL),%6 Metaldehyde,GB (Granül Yem),6
SWARM 2 DS (İMAL),%2 Tebuconazole,DS (Kuru Tohum İlacı),6
SAT BORDO MIX 20 WG (İTHAL),%20 Metalik bakıra eşdeğer bordo bulamacı,WG (Suda Dağılabilen Granül),6
ASTRAN SC (İMAL),75 g/l Mesotrione + 30 g/l Nicosulfuron,SC (Akıcı Konsantre/Süspansiyon Konsantre),6
PLATIX (İMAL),300 g/l Bromoxynil + 300 g/l MCPA,EC (Emülsiye Olabilen Konsantre),6
BEST FORTE 80 WG (İMAL),%80 Thiram,WG (Suda Dağılabilen Granül),6
SUPERDO 195 SC (İTHAL),"120 g/l Glyphosate Asit (132,1 g/l Glyphosate Ammonium tuzuna eşdeğer) + 60 g/l MCPA Asit (65,1 g/l Ammonium tuzuna eşdeğer) + 15 g/l Diflufenican",SC (Akıcı Konsantre/Süspansiyon Konsantre),6
EFDAL VOTEXİT (İMAL),100 g/l Clopyralid,SL (Suda Çözünen Konsantre),6
TAWATTIR 10 EC (İMAL),100 g/l Pyriproxyfen,EC (Emülsiye Olabilen Konsantre),6
RAYAS (İTHAL),40 g/l Imazamox,SL (Suda Çözünen Konsantre),6
EMAL S (İTHAL),960 g/l S-Metolachlor,EC (Emülsiye Olabilen Konsantre),6
KORACTİVE 45 EC (İMAL),45 g/l Pinoxaden + 20 g/l Cloquintocet-mexyl (safener),EC (Emülsiye Olabilen Konsantre),6
CURDASON 150 SC (İMAL),150 g/l Indoxacarb,SC (Akıcı Konsantre/Süspansiyon Konsantre),6
COLT 20 EC (İMAL),200 g/l Esfenvalerate,EC (Emülsiye Olabilen Konsantre),6
FLOMICE (İMAL),240 g/l Metaflumizone,SC (Akıcı Konsantre/Süspansiyon Konsantre),6
MOTİVATÖR 100 SC (İMAL),100 g/l Spirotetramat,SC (Akıcı Konsantre/Süspansiyon Konsantre),6
SAHNOVAR 2 (İMAL),"361,1 g/l Metalik bakıra eşdeğer bakır hidroksit",SC (Akıcı Konsantre/Süspansiyon Konsantre),6
BARONES 70 WG (İMAL),%70 Dithianon,WG (Suda Dağılabilen Granül),6
TOLEDO 430 SC (İTHAL),430 g/l Tebuconazole,SC (Akıcı Konsantre/Süspansiyon Konsantre),6
DAGRO MİTE 20 WP (İMAL),%20 Pyridaben,WP (Islanabilir Toz),6
KUPKOL 700 (İMAL),700 g/l Metalik bakıra eşdeğer bakır oksiklorid,SC (Akıcı Konsantre/Süspansiyon Konsantre),6
KUTANA OPTİ (İMAL),%30 Metalik bakıra eşdeğer bakır hidroksit,WG (Suda Dağılabilen Granül),6
JASOY 050 EC (İTHAL),50 g/l Lufenuron,EC (Emülsiye Olabilen Konsantre),6
UMPRON (İTHAL),40 g/l Nicosulfuron,SC (Akıcı Konsantre/Süspansiyon Konsantre),6
SELTICK 50 WP (İMAL),%50 Pirimicarb,WP (Islanabilir Toz),6
PERSEPHONE 100 EC (İMAL),100 g/l Pyriproxyfen,EC (Emülsiye Olabilen Konsantre),6
PHYTON 50 EC (İMAL),50 g/l Lufenuron,EC (Emülsiye Olabilen Konsantre),6
BADLANS (İMAL),"%25,2 Boscalid + %12,8 Pyraclostrobin",WG (Suda Dağılabilen Granül),6
HEKTAŞ CRASH (İMAL),"361,1 g/l Metalik bakıra eşdeğer bakır hidroksit",SC (Akıcı Konsantre/Süspansiyon Konsantre),6
QUICKPHLO-R (İTHAL),"%77,5 Aluminium phosphide",GR (Granül),6
CASIRGA 035 FS (İMAL),25 g/l Fludioxonil + 10 g/l Metalaxyl-m,FS (Tohum İlaçlaması İçin Akıcı Konsantre),6
APPROX (İMAL),"85 g/l Pyraclostrobin + 62,5 g/l Epoxiconazole",SE (Suspo-Emülsiyon),6
FUJION-S (İMAL),915 g/l S-Metolachlor + 45 g/l Benoxacor (safener),EC (Emülsiye Olabilen Konsantre),6
DIFORCE (İTHAL),"%3,6 (E,Z)-7,9- Dodecadienyl acetate","EW (Emülsiyon, Suda Yağ)",6
PROBZ (İMAL),100 g/l Penconazole,EC (Emülsiye Olabilen Konsantre),6
MOBİTAR 35 (İMAL),25 g/l Fludioxonil + 10 g/l Metalaxyl-m,FS (Tohum İlaçlaması İçin Akıcı Konsantre),6
ACETAMPLAN 20 SP (İMAL),%20 Acetamiprid,SP (Suda Çözünen Toz),6
ABRADE 100 EC (İTHAL),100 g/l Alpha-cypermethrin,EC (Emülsiye Olabilen Konsantre),6
SUNACET 20 SP (İTHAL),%20 Acetamiprid,SP (Suda Çözünen Toz),6
CHEETAH (İMAL),200 g/l Glufosinate Ammonium Tuzu + 200 g/l MCPA + 40 g/l Diflufenican + 15 g/l Carfentrazone-ethyl,SC (Akıcı Konsantre/Süspansiyon Konsantre),6
FULL-POINT 480 SC (İMAL),240 g/l Isoxaflutole +240 g/l Cyprosulfamide (safener),SC (Akıcı Konsantre/Süspansiyon Konsantre),6
COROT (İMAL),"37,5 g/l Mesotrione + 15 g/l Nicosulfuron",SC (Akıcı Konsantre/Süspansiyon Konsantre),6
TONITOM 25 SL (İTHAL),"18 g/l 2-(1-Naphthyl)acetamide (NAD) + 6,75 g/l 1-Naphthylacetic acid (NAA)",SL (Suda Çözünen Konsantre),6
PİLERGARD (İMAL),480 g/l Bentazone,SL (Suda Çözünen Konsantre),6
GİBBET SL (İMAL),20 g/l Gibberellic acid,SL (Suda Çözünen Konsantre),6
CARIAL 43 WG (İTHAL),%25 Mandipropamid + %18 Cymoxanil,WG (Suda Dağılabilen Granül),6
KYLEO 400 SL (İTHAL),"240 g/l Glyphosate Asit (323,9 g/l Glyphosate Isopropylamin Tuzuna eşdeğer) + 160 g/l 2,4-D Asit (371 g/l Alkylamidopropyl Dimethil Amin Tuzuna eşdeğer))",SL (Suda Çözünen Konsantre),6
DAXORA (İMAL),400 g/l Buprofezin,SC (Akıcı Konsantre/Süspansiyon Konsantre),6
TEMPOROMA (İMAL),"125 g/l Pendimethalin + 106,25 g/l Dimethenamid-P",EC (Emülsiye Olabilen Konsantre),6
CALİCA (İMAL),%50 Captan,WP (Islanabilir Toz),6
EPICK S WG 61 (İMAL),%30 Foramsulfuron + %1 Iodosulfuron methyl-sodium + %30 Isoxadifen-ethyl (safener),WG (Suda Dağılabilen Granül),6
SANDEA (İMAL),"452,42 g/l 2,4-D 2-Ethylhexyl ester + 6,25 g/l Florasulam",SE (Suspo-Emülsiyon),6
PRESSURE 74.8 SG (İTHAL),"%74,8 Glyphosate Ammonium Tuzu",SG (Suda Çözünen Granül),6
CAPTEC (İMAL),%25 Metalik bakıra eşdeğer bakır sülfat,CR (Kristal),6
ABSHERON 915 EC (İMAL),915 g/l S-Metolachlor + 45 g/l Benoxacor (safener),EC (Emülsiye Olabilen Konsantre),6
AGROFARM CILIS (İMAL),"100 g/l Cyhalofop-butyl + 13,3 g/l Penoxsulam",OD (Yağda Dağılabilen),6
GERİLLOS 48 SL (İMAL),480 g/l Glyphosate Isopropylamin Tuzu,SL (Suda Çözünen Konsantre),6
MESUTAT X5 (İMAL),"500 g/l Clopyralid+50 g/l Tribenuron-methyl+22,5 g/l Florasulam",SL (Suda Çözünen Konsantre),6
FORCOP 20 SP (İMAL),%20 Acetamiprid,SP (Suda Çözünen Toz),6
LODAGYL (İMAL),10 g/l Forchlorfenuron,EC (Emülsiye Olabilen Konsantre),6
PIXEL (İMAL),720 g/l Dimethenamid-p,EC (Emülsiye Olabilen Konsantre),6
HEKTAŞ DESPİNA (İMAL),"18,8 g/l 6-Benzyladenine + 18,5 g/l Gibberellin A4/A7",SL (Suda Çözünen Konsantre),6
MAVİ BORDO 10 SC (İMAL),124 g/l Metalik bakıra eşdeğer bordo bulamacı,SC (Akıcı Konsantre/Süspansiyon Konsantre),6
MAVİ BORDO 20 WG (İMAL),%20 Metalik bakıra eşdeğer bordo bulamacı,WG (Suda Dağılabilen Granül),6
AZBANY® 250 SC (İTHAL),250 g/l Azoxystrobin,SC (Akıcı Konsantre/Süspansiyon Konsantre),6
PROMALIN (İTHAL),"18,8 g/l 6-Benzyladenine + 18,5 g/l Gibberellin A4/A7",SL (Suda Çözünen Konsantre),6
GİFT 48 SL (İMAL),480 g/l Ethephon,SL (Suda Çözünen Konsantre),6
EMATIN 5 SG (İTHAL),%5 Emamectin benzoate,SG (Suda Çözünen Granül),6
"KORZAQUİN ® 62,5 WG (İMAL)","%37,5 Cyprodinil + %25 Fludioxonil",WG (Suda Dağılabilen Granül),6
ROGER 70 WG (İTHAL),%70 Metribuzin,WG (Suda Dağılabilen Granül),6
AQUATİS (İMAL),200 g/l Azoxystrobin + 125 g/l Difenoconazole,SC (Akıcı Konsantre/Süspansiyon Konsantre),6
VAPCOMIC (İTHAL),18 g/l Abamectin,EC (Emülsiye Olabilen Konsantre),6
PARADOKS EW (İMAL),75 g/l Fenoxaprop-p-ethyl + 69 g/l Mefenpyr-diethyl (safener),"EW (Emülsiyon, Suda Yağ)",6
RUTABLE 20 SL (İMAL),20 g/l Gibberellic acid,SL (Suda Çözünen Konsantre),6
FRSTANG (İMAL),"452,42 g/l 2,4-D 2-Ethylhexyl ester + 6,25 g/l Florasulam",SE (Suspo-Emülsiyon),6
HERBOUT 48 SL (İMAL),480 g/l Glyphosate Isopropylamin Tuzu,SL (Suda Çözünen Konsantre),6
Vefclaim 05 SG (İMAL),%5 Emamectin benzoate,SG (Suda Çözünen Granül),6
SKYFER (İMAL),"%26,7 Boscalid + %6,7 Pyraclostrobin",WG (Suda Dağılabilen Granül),6
DAMME 48 SL (İTHAL),480 g/l Glyphosate Isopropylamin Tuzu,SL (Suda Çözünen Konsantre),6
PİRANA 5 SG (İTHAL),%5 Emamectin benzoate,SG (Suda Çözünen Granül),6
DAFDİO 50 EW (İMAL),50 g/l Quizalofop-p-ethyl,"EW (Emülsiyon, Suda Yağ)",6
TEZGUARD 600 (İMAL),600 g/l Phosphorous Acid (mono ve di-potasyum tuzları),SL (Suda Çözünen Konsantre),6
POSS (İMAL),400 g/l Phosphorous Acid (mono ve di-potasyum tuzları),SL (Suda Çözünen Konsantre),6
OHAYO (İMAL),"85 g/l Pyraclostrobin + 62,5 g/l Epoxiconazole",SE (Suspo-Emülsiyon),6
ASKANCE 18 EC (İMAL),18 g/l Abamectin,EC (Emülsiye Olabilen Konsantre),6
PİL-NANDA (İMAL),25 g/l Fludioxonil + 10 g/l Metalaxyl-m,FS (Tohum İlaçlaması İçin Akıcı Konsantre),6
FLUNK 150 EC (İMAL),150 g/l Fosthiazate,EC (Emülsiye Olabilen Konsantre),6
HADAF (İTHAL),240 g/l Oxyfluorfen,EC (Emülsiye Olabilen Konsantre),6
ABG SUNN (İMAL),"%3,3 1-Methylcyclopropene",VP (Gaz Neşreden İlaç),6
CHROMA 50 (İMAL),"51,3 g/l Cyflufenamid","EW (Emülsiyon, Suda Yağ)",6
DELTARIN (İTHAL),25 g/l Deltamethrin,EC (Emülsiye Olabilen Konsantre),6
PAVNI (İMAL),40 g/l Imazamox,SL (Suda Çözünen Konsantre),6
AKBASH 48 SL (İMAL),480 g/l Glyphosate Isopropylamin Tuzu,SL (Suda Çözünen Konsantre),6
AMALINE (İTHAL),"266,6 g/l Metalik bakıra eşdeğer bazik bakır sülfat + 40 g/l Zoxamide",SC (Akıcı Konsantre/Süspansiyon Konsantre),6
GOLTİX 700 SC (İTHAL),700 g/l Metamitron,SC (Akıcı Konsantre/Süspansiyon Konsantre),6
GOGGLES 500 SC (İMAL),350 g/l Metamitron + 150 g/l Ethofumesate,SC (Akıcı Konsantre/Süspansiyon Konsantre),6
FORBYFOR 60 SL (İTHAL),60 g/l Dichlorprop-P,SL (Suda Çözünen Konsantre),6
SAFA ABİDE (İMAL),150 g/l Indoxacarb,SC (Akıcı Konsantre/Süspansiyon Konsantre),6
MUTİNY SG (İMAL),%5 Emamectin benzoate,SG (Suda Çözünen Granül),6
TRANCE 5 EC (İMAL),50 g/l Lambda-cyhalothrin,EC (Emülsiye Olabilen Konsantre),6
Kitinex 5 EC (İMAL),50 g/l Lambda-cyhalothrin,EC (Emülsiye Olabilen Konsantre),6
AVANTİ EC (İMAL),150 g/l Indoxacarb,EC (Emülsiye Olabilen Konsantre),6
TARDIS 40 SL (İMAL),40 g/l Imazamox,SL (Suda Çözünen Konsantre),6
BANAX (İMAL),%20 Pyridaben,WP (Islanabilir Toz),6
PREV-AM (İTHAL),60 g/l Orange oil,SL (Suda Çözünen Konsantre),6
HEKTAŞ ARKAZ (İMAL),500 g/l Pirimiphos methyl,EC (Emülsiye Olabilen Konsantre),6
ARBALET (İMAL),240 g/l Metaflumizone,SC (Akıcı Konsantre/Süspansiyon Konsantre),6
PRİCKLE 10 EC (İMAL),100 g/l Pyriproxyfen,EC (Emülsiye Olabilen Konsantre),6
HEKTAŞ ZODIAC (İMAL),100 g/l Spirotetramat,SC (Akıcı Konsantre/Süspansiyon Konsantre),6
HEKTAŞ CHOOSE (İMAL),441 g/l Glyphosate Potasyum Tuzu,SL (Suda Çözünen Konsantre),6
MGPHOS AL DP 56% (İTHAL),%56 Aluminium phosphide,DP (Toz),6
Mosqill 30 SC (İMAL),300 g/l Pyrimethanil,SC (Akıcı Konsantre/Süspansiyon Konsantre),6
SEEDRON® (İTHAL),50 g/l Fludioxonil + 10 g/l Tebuconazole,FS (Tohum İlaçlaması İçin Akıcı Konsantre),6
LEDA S 915 EC (İMAL),915 g/l S-Metolachlor + 45 g/l Benoxacor (safener),EC (Emülsiye Olabilen Konsantre),6
FESTAN (İMAL),"%37,5 Cyprodinil + %25 Fludioxonil",WG (Suda Dağılabilen Granül),6
SANATRA FLOW (İTHAL),400 g/l Propyzamide,SC (Akıcı Konsantre/Süspansiyon Konsantre),6
LENABOOM (İMAL),"18,8 g/l 6-Benzyladenine + 18,5 g/l Gibberellin A4/A7",SL (Suda Çözünen Konsantre),6
HEKTAŞ LOGOS (İMAL),915 g/l S-Metolachlor + 45 g/l Benoxacor (safener),EC (Emülsiye Olabilen Konsantre),6
KASTORİA SC (İMAL),310 g/l Thiophanate-methyl + 187 g/l Epoxiconazole,SC (Akıcı Konsantre/Süspansiyon Konsantre),6
CALAMITY (İMAL),%75 Tribenuron-methyl,WG (Suda Dağılabilen Granül),6
COMMANDER 441 SL (İMAL),441 g/l Glyphosate Potasyum Tuzu,SL (Suda Çözünen Konsantre),6
SLENDER (İMAL),200 g/l Boscalid + 100 g/l Kresoxim-methyl,SC (Akıcı Konsantre/Süspansiyon Konsantre),6
BADGER 70 WP (İTHAL),%70 Thiophanate-methyl,WP (Islanabilir Toz),6
METAM FLUİD (İTHAL),500 g/l Metam Sodium,SL (Suda Çözünen Konsantre),6
FRUGAL 35 WG (İMAL),%35 Metalik bakıra eşdeğer bakır hidroksit,WG (Suda Dağılabilen Granül),6
TESMAR 36 SL (İTHAL),360 g/l Hymexazole,SL (Suda Çözünen Konsantre),6
FANTOS 10 SC (İTHAL),110 g/l Etoxazole,SC (Akıcı Konsantre/Süspansiyon Konsantre),6
KUDOS 38 WG (İMAL),"%25,2 Boscalid + %12,8 Pyraclostrobin",WG (Suda Dağılabilen Granül),6
TORPADE 480 SL (İTHAL),480 g/l Glyphosate Isopropylamin Tuzu,SL (Suda Çözünen Konsantre),6
BOXER 441 SL (İMAL),441 g/l Glyphosate Potasyum Tuzu,SL (Suda Çözünen Konsantre),6
AMADEUS 200 SL (İMAL),200 g/l Glufosinate-ammonium tuzu,SL (Suda Çözünen Konsantre),6
SELTIMA (İTHAL),100 g/l Pyraclostrobin,CS (Kapsül Süspansiyon),6
ORİGAM FS (İMAL),"75 g/l Azoxystrobin + 37,5 g/l Metalaxyl-m + 12,5 g/l Fludioxonil",FS (Tohum İlaçlaması İçin Akıcı Konsantre),6
MORNA (İMAL),%25 Tebuconazole,WP (Islanabilir Toz),6
DE PORTİVO (İMAL),"65,82 g/l Metalik bakıra eşdeğer bakır sülfat",SC (Akıcı Konsantre/Süspansiyon Konsantre),6
TRANSOL (İMAL),350 g/l Metalik bakıra eşdeğer bakır hidroksit,SC (Akıcı Konsantre/Süspansiyon Konsantre),6
MONDEO 300 SC (İMAL),300 g/l Pyrimethanil,SC (Akıcı Konsantre/Süspansiyon Konsantre),6
ALCORON (İMAL),%75 Metalik bakıra eşdeğer bakır oksit,WG (Suda Dağılabilen Granül),6
COTOLİNT 500 SC (İTHAL),500 g/l Fluometuron,SC (Akıcı Konsantre/Süspansiyon Konsantre),6
DELAXTORE 200 SL (İMAL),200 g/l Glufosinate-ammonium tuzu,SL (Suda Çözünen Konsantre),6
TIFIS WG (İMAL),"%3 Mesosulfuron-methyl + %0,6 Iodosulfuron-methyl sodium + %9 Mefenpeyr-diethyl (safener)",WG (Suda Dağılabilen Granül),6
EMTOİ CS (İTHAL),450 g/l Pendimethalin,CS (Kapsül Süspansiyon),6
ACTİVUS ® (İTHAL),75 g/l Fluxapyroxad + 50 g/l Difenoconazole,SC (Akıcı Konsantre/Süspansiyon Konsantre),6
NEEMARİN (İMAL),%5 Emamectin benzoate,SG (Suda Çözünen Granül),6
ERATİS 48 SL (İTHAL),480 g/l Glyphosate Isopropylamin Tuzu,SL (Suda Çözünen Konsantre),6
GENAGRO ZAPATA (İMAL),%5 Emamectin benzoate,SG (Suda Çözünen Granül),6
HEKTAŞ BİELLA (İMAL),200 g/l Pyrimethanil + 125 g/l Tebuconazole,SC (Akıcı Konsantre/Süspansiyon Konsantre),6
SAFA KALİBRE (İMAL),"85 g/l Pyraclostrobin + 62,5 g/l Epoxiconazole",SE (Suspo-Emülsiyon),6
MARİTİMA MAX (İMAL),200 g/l Azoxystrobin + 125 g/l Difenoconazole,SC (Akıcı Konsantre/Süspansiyon Konsantre),6
MEVAXIL BAKIR SC (İTHAL),259 g/l Metalik bakıra eşdeğer bakır hidroksit + 49 g/l Metalaxyl,SC (Akıcı Konsantre/Süspansiyon Konsantre),6
MOLTOVIN 225 SC (İTHAL),190 g/l Metalik Bakıra eşdeğer bazik bakır sülfat + 35 g/l Cymoxanil,SC (Akıcı Konsantre/Süspansiyon Konsantre),6
TAZER XPERT 111 SC (İTHAL),"80 g/l Azoxystrobin + 31,25 g/l Epoxiconazole",SC (Akıcı Konsantre/Süspansiyon Konsantre),6
"REQUİNTO SC 687,5 (İMAL)","625 g/l Propamocarb-hydrochloride + 62,5 g/l Fluopicolide",SC (Akıcı Konsantre/Süspansiyon Konsantre),6
KAZUYA (İMAL),50 g/l Lambda-cyhalothrin,EC (Emülsiye Olabilen Konsantre),6
PUERTO SC 100 (İMAL),100 g/l Spirotetramat,SC (Akıcı Konsantre/Süspansiyon Konsantre),6
MUKTI 325 SC (İTHAL),200 g/l Azoxystrobin + 125 g/l Difenoconazole,SC (Akıcı Konsantre/Süspansiyon Konsantre),6
ARPİMA (İMAL),480 g/l Ethephon + 60 g/l Cyclanilide,SC (Akıcı Konsantre/Süspansiyon Konsantre),6
PENOLAM (İMAL),"25,2 g/l Penoxsulam",OD (Yağda Dağılabilen),6
MEC-SUN (İMAL),330 g/l Pendimethalin,EC (Emülsiye Olabilen Konsantre),6
TROLL 50 EW (İMAL),50 g/l Quizalofop-p-ethyl,"EW (Emülsiyon, Suda Yağ)",6
SERIFEL (İTHAL),Bacillus amyloliquefaciens ırkı MBI 600 >5.5x10 üzeri 10 cfu/g,WP (Islanabilir Toz),6
HEADLİNE MAX (İMAL),200 g/l Azoxystrobin + 125 g/l Difenoconazole,SC (Akıcı Konsantre/Süspansiyon Konsantre),6
EFDAL SULFUR 800 SC (İMAL),800 g/l Kükürt,SC (Akıcı Konsantre/Süspansiyon Konsantre),6
AMPEXIO (İTHAL),%25 Mandipropamid + %24 Zoxamide,WG (Suda Dağılabilen Granül),6
HERBOV SG 25 (İMAL),%25 Rimsulfuron,SG (Suda Çözünen Granül),6
MİDORİ (İMAL),40 g/l Imazamox,SL (Suda Çözünen Konsantre),6
HEKTAŞ BRİO® (İMAL),240 g/l Metaflumizone,SC (Akıcı Konsantre/Süspansiyon Konsantre),6
SIMIRNA-X (İMAL),40 g/l Imazamox,SL (Suda Çözünen Konsantre),6
BELTANOL L (İTHAL),500 g/l 8- Hydroxyquinoline sulphate,SL (Suda Çözünen Konsantre),6
FASTEN SC 240 (İMAL),240 g/l Spirodiclofen,SC (Akıcı Konsantre/Süspansiyon Konsantre),6
HEKTAŞ MİTRAL WG (İMAL),%60 Fosetyl-Al + %4 Famoxadone,WG (Suda Dağılabilen Granül),6
HEKTAŞ PLUTO WG (İMAL),"%45,6 Cymoxanil + %15 Trifloxystrobin",WG (Suda Dağılabilen Granül),6
HEGEL (İTHAL),%75 Tribenuron-methyl,WG (Suda Dağılabilen Granül),6
VACATE (İMAL),%40 Iminoctadine tris (albesilate),WP (Islanabilir Toz),6
SUNPIRNE 500 SC (İMAL),500 g/l Dodine,SC (Akıcı Konsantre/Süspansiyon Konsantre),6
EUMİDAN (İMAL),%50 Captan,WP (Islanabilir Toz),6
KORTAC 100 SC (İMAL),100 g/l Alpha-cypermethrin,SC (Akıcı Konsantre/Süspansiyon Konsantre),6
SOLEMNİTY (İMAL),"%25,2 Boscalid + %12,8 Pyraclostrobin",WG (Suda Dağılabilen Granül),6
NANTES (İMAL),915 g/l S-Metolachlor + 45 g/l Benoxacor (safener),EC (Emülsiye Olabilen Konsantre),6
