Ticari Isim,Etken Madde,Formulasyon
"BENSİT 2,5 EC (İMAL)",25 g/l Deltamethrin,EC (Emülsiye Olabilen Konsantre)
EFDAL AZİBUT (İMAL),200 g/l Azoxystrobin + 125 g/l Difenoconazole,SC (Akıcı Konsantre/Süspansiyon Konsantre)
PONTIAC 45 EC (İMAL),45 g/l Pinoxaden + 20 g/l Cloquintocet-mexyl (safener),EC (Emülsiye Olabilen Konsantre)
MİSİLLE 20 SL (İTHAL),200 g/l Diquat dibromide,SL (Suda Çözünen Konsantre)
ONFOSET 80 WP (İTHAL),%80 Fosetyl-Al,WP (Islanabilir Toz)
VAPORPH3OS (İTHAL),"%99,3 Fosfin",GA (Gaz)
BELLMAC 5.7 WG (İTHAL),% 5.7 Emamectin benzoate,WG (Suda Dağılabilen Granül)
KAPADOKIA 65 EC (İMAL),650 g/l Malathion,EC (Emülsiye Olabilen Konsantre)
ASTROZE (İMAL),240 g/l Methoxyfenozide,SC (Akıcı Konsantre/Süspansiyon Konsantre)
BARBELO 100 SC (İMAL),100 g/l Spirotetramat,SC (Akıcı Konsantre/Süspansiyon Konsantre)
PROFUSE 250 EC (İMAL),250 g/l Difenoconazole,EC (Emülsiye Olabilen Konsantre)
SKYSTAR (İTHAL),%75 Tribenuron-methyl,WG (Suda Dağılabilen Granül)
VYAPAK (İTHAL),%10 Fosthiazate,GR (Granül)
FRS FOROZ 400 (İMAL),400 g/l Phosphorous Acid (mono ve di-potasyum tuzları),SL (Suda Çözünen Konsantre)
LACLOFEN (İMAL),%50 Kresoxim-methyl,WG (Suda Dağılabilen Granül)
VARNA (İMAL),"%57 Metiram + %4,8 Cymoxanil",WG (Suda Dağılabilen Granül)
AGROFARM CLASS (İMAL),200 g/l Glufosinate-ammonium tuzu,SL (Suda Çözünen Konsantre)
LIFELINE (İTHAL),160 g/l Glufosinate-ammonium + 202 g/l Glyphosate IPA tuzu,SL (Suda Çözünen Konsantre)
HEKTAŞ CAPTAN'H WG (İMAL),%50 Captan,WG (Suda Dağılabilen Granül)
LENTİPUR 500 SC (İTHAL),500 g/l Chlorotoluron,SC (Akıcı Konsantre/Süspansiyon Konsantre)
FACET (İTHAL),250 g/l Quinclorac,SC (Akıcı Konsantre/Süspansiyon Konsantre)
FEN-TON SC (İMAL),200 g/l Imazalil + 200 g/l Pyrimethanil,SC (Akıcı Konsantre/Süspansiyon Konsantre)
BRENDA 10 G (İTHAL),%10 Fosthiazate,GR (Granül)
EVANLESS (İMAL),360 g/l Glyphosate asite eşdeğer Glyphosate Isopropylamin Tuzu + 30 g/l Oxyfluorfen,SC (Akıcı Konsantre/Süspansiyon Konsantre)
MAKLAIM 5 SG (İMAL),%5 Emamectin benzoate,SG (Suda Çözünen Granül)
BİOCLAİM 5 SG (İTHAL),%5 Emamectin benzoate,SG (Suda Çözünen Granül)
WİPMURE 150 SC (İMAL),150 g/l Indoxacarb,SC (Akıcı Konsantre/Süspansiyon Konsantre)
EFDAL GUBFOS (İMAL),%75 Cyromazine,WP (Islanabilir Toz)
Hektaş Expand (İMAL),300 g/l Bromoxynil + 300 g/l MCPA,EC (Emülsiye Olabilen Konsantre)
MAHLER ME (İMAL),50 g/l Quizalofop-p-ethyl,ME (Mikro-Emülsiyon)
VAPCOMORE (İTHAL),200 g/l Acetamiprid,SL (Suda Çözünen Konsantre)
ERTEKİ (İMAL),%12 Dithianon + %4 Pyraclostrobin,WG (Suda Dağılabilen Granül)
RUFFE 25 EC (İMAL),250 g/l Flurochloridone,EC (Emülsiye Olabilen Konsantre)
BAXIGA 32.5 OD (İTHAL),"20 g/l Penoxsulam + 12,5 g/l Florpyrauxifen-benzyl",OD (Yağda Dağılabilen)
CAMRO SC (İMAL),200 g/l Boscalid + 100 g/l Kresoxim-methyl,SC (Akıcı Konsantre/Süspansiyon Konsantre)
ARTLAYM 5 SG (İMAL),%5 Emamectin benzoate,SG (Suda Çözünen Granül)
TARZEC 320 WG (İTHAL),"% 6,95 (% 6,67 ae) Halauxifen-methyl + % 25 Pyroxsulam + % 35,4 Cloquintocet-acid (Safener)",WG (Suda Dağılabilen Granül)
ACS HAPLESS SC (İMAL),500 g/l Fenhexamid,SC (Akıcı Konsantre/Süspansiyon Konsantre)
FİLİKER MC (İMAL),300 g/l Bromoxynil + 300 g/l MCPA,EC (Emülsiye Olabilen Konsantre)
MATRIX 5 EC (İMAL),50 g/l Hexythiazox,EC (Emülsiye Olabilen Konsantre)
BEYOND NEW (İTHAL),"33,3 g/l Imazamox",SL (Suda Çözünen Konsantre)
PALMA 50 EC (İMAL),50 g/l Lufenuron,EC (Emülsiye Olabilen Konsantre)
ACS HAWK 5 SG (İMAL),%5 Emamectin benzoate,SG (Suda Çözünen Granül)
SAFA VANTAGE EC (İMAL),480 g/l Metalaxyl-M,EC (Emülsiye Olabilen Konsantre)
PARGO WG (İTHAL),%50 Tebuconazole + %25 Trifloxystrobin,WG (Suda Dağılabilen Granül)
PLATHORIN 150 EC (İMAL),150 g/l Fosthiazate,EC (Emülsiye Olabilen Konsantre)
EMİLİON (İTHAL),"%37,5 Cyprodinil + %25 Fludioxonil",WG (Suda Dağılabilen Granül)
REKOR 50 EC (İMAL),50 g/l Lambda-cyhalothrin,EC (Emülsiye Olabilen Konsantre)
CONVISO OD 80 (İTHAL),50 g/l Foramsulfuron + 30 g/l Thiencarbazone-methyl,OD (Yağda Dağılabilen)
OPTIX-R® (İTHAL),%20 Fosetyl-Al + %15 Metalik Bakıra Eşdeğer Tribazik Bakır Sülfat,WG (Suda Dağılabilen Granül)
FRS GLOK 80 WG (İTHAL),%80 Kükürt,WG (Suda Dağılabilen Granül)
LOCEREN (İMAL),441 g/l Glyphosate Potasyum Tuzu,SL (Suda Çözünen Konsantre)
DESOLON (İMAL),75 g/l Mesotrione + 30 g/l Nicosulfuron,SC (Akıcı Konsantre/Süspansiyon Konsantre)
MENTA PRELÜD (İMAL),300 g/l Pyrimethanil,SC (Akıcı Konsantre/Süspansiyon Konsantre)
NINJITSU CS (İTHAL),50 g/l Lambda-cyhalothrin,CS (Kapsül Süspansiyon)
TUREİS (İMAL),"%3 Mesosulfuron-methyl + %0,6 Iodosulfuron-methyl sodium + %9 Mefenpeyr-diethyl (safener)",WG (Suda Dağılabilen Granül)
BARADAN 50 WG (İMAL),%50 Trifloxystrobin,WG (Suda Dağılabilen Granül)
BKS TRILURE (İTHAL),"1,4 g p-Anisaldehyde/ Karton disk",--- (-)
NADAS (İMAL),360 g/l Glyphosate asite eşdeğer Glyphosate Isopropylamin Tuzu + 30 g/l Oxyfluorfen,SC (Akıcı Konsantre/Süspansiyon Konsantre)
VOCAL 10 G (İTHAL),%10 Fosthiazate,GR (Granül)
AZOXIFEN (İTHAL),200 g/l Azoxystrobin + 125 g/l Difenoconazole,SC (Akıcı Konsantre/Süspansiyon Konsantre)
ANKİT (İTHAL),%70 Thiophanate-methyl,WP (Islanabilir Toz)
HEKTAŞ ALBEDO (İMAL),50 g/l Buprofezin + 6.2 g/l Deltamethrin,EC (Emülsiye Olabilen Konsantre)
SAFA VALLE (İMAL),120 g/l Carfentrazone-ethyl,EC (Emülsiye Olabilen Konsantre)
NEVREST EC (İMAL),100 g/l Buprofezin + 20 g/l Lambda-cyhalothrin,EC (Emülsiye Olabilen Konsantre)
KASIRGA (İMAL),400 g/l Buprofezin,SC (Akıcı Konsantre/Süspansiyon Konsantre)
NEGATİON 40 OD (İTHAL),40 g/l Nicosulfuron,OD (Yağda Dağılabilen)
DEFENTOX® (İTHAL),25 g/l Deltamethrin,EC (Emülsiye Olabilen Konsantre)
ACTINMOR (İMAL),18 g/l Abamectin,EC (Emülsiye Olabilen Konsantre)
BLEAK (İMAL),"228,6 g/l Spiromesifen + 11,4 g/l Abamectin",SC (Akıcı Konsantre/Süspansiyon Konsantre)
NOVİCURE 40 WG (İTHAL),%40 Metalik bakıra eşdeğer tribazik bakır sülfat,WG (Suda Dağılabilen Granül)
ZZ CUPROTAN 700 SC (İMAL),700 g/l Metalik bakıra eşdeğer bakır oksiklorid,SC (Akıcı Konsantre/Süspansiyon Konsantre)
BUFFOON SC (İMAL),"361,1 g/l Metalik bakıra eşdeğer bakır hidroksit",SC (Akıcı Konsantre/Süspansiyon Konsantre)
PAGODA (İMAL),150 g/l Prochloraz + 42 g/l Epoxiconazole,DC (Disperse Olabilen Konsantre)
Frigate 150 EC (İMAL),150 g/l Fosthiazate,EC (Emülsiye Olabilen Konsantre)
TAN BORDOX (İMAL),%75 Metalik bakıra eşdeğer bakır oksit,WG (Suda Dağılabilen Granül)
ROSCANA® (İMAL),"85 g/l Pyraclostrobin + 62,5 g/l Epoxiconazole",SE (Suspo-Emülsiyon)
ACS GLADIO 110 SC (İMAL),110 g/l Etoxazole,SC (Akıcı Konsantre/Süspansiyon Konsantre)
BİO-CURE F (İTHAL),Trichoderma viride 1x10 üzeri 8 kob/ml min.,SL (Suda Çözünen Konsantre)
AGRODONE (İMAL),500 g/l Metrafenone,SC (Akıcı Konsantre/Süspansiyon Konsantre)
MOKKA (İTHAL),"360 g/l 2,4-D Asit (543 g/l 2,4-D EHE eşdeğer) + 90 g/l Fluroxypyr (129 g/l Fluroxypyr meptyl'e eşdeğer)",EC (Emülsiye Olabilen Konsantre)
UNIAGRO BLUE DROP 20 WP (İMAL),%20 Metalik bakıra eşdeğer bordo bulamacı,WP (Islanabilir Toz)
TENOXIM ® (İMAL),%50 Trifloxystrobin,WG (Suda Dağılabilen Granül)
FRAME (İTHAL),%75 Tribenuron-methyl,WG (Suda Dağılabilen Granül)
OVIPHYT (İTHAL),800 g/l Mineral Yağ,EC (Emülsiye Olabilen Konsantre)
DAGRO GİBB (İMAL),20 g/l Gibberellic acid,SL (Suda Çözünen Konsantre)
CORTO (İTHAL),%10 Prohexadione Calcium,WG (Suda Dağılabilen Granül)
RİTMİCA OF 120 (İMAL),30 g/l Mesosulfuron-methyl + 90 g/l Mefenpyr-diethyl (safener),OD (Yağda Dağılabilen)
ENFORCER 640 SC (İTHAL),600 g/l Chlorotoluron + 40 g/l Diflufenican,SC (Akıcı Konsantre/Süspansiyon Konsantre)
PATCH 250 SC (İMAL),250 g/l Flutriafol,SC (Akıcı Konsantre/Süspansiyon Konsantre)
ASİLİYET 80 WG (İMAL),%80 Fosetyl-Al,WG (Suda Dağılabilen Granül)
STİN 80 WG (İMAL),%80 Fosetyl-Al,WG (Suda Dağılabilen Granül)
ALGEBAR (İMAL),240 g/l Metaflumizone,SC (Akıcı Konsantre/Süspansiyon Konsantre)
CELLFEX (İMAL),10 g/l Forchlorfenuron,EC (Emülsiye Olabilen Konsantre)
FLORGIB 100 OD (İTHAL),100 g/l Gibberellic acid,OD (Yağda Dağılabilen)
PROPESTGAS (İTHAL),"%99,8 Sulfuryl Fluoride",GA (Gaz)
APHET (İTHAL),200 g/l Penthiopyrad,SC (Akıcı Konsantre/Süspansiyon Konsantre)
KASTİLL (İMAL),650 g/l Malathion,EC (Emülsiye Olabilen Konsantre)
COLZOR 540 EC (İTHAL),500 g/l Dimethachlor + 40 g/l Clomazone,EC (Emülsiye Olabilen Konsantre)
PİNOVA DE (İMAL),240 g/l Methoxyfenozide,SC (Akıcı Konsantre/Süspansiyon Konsantre)
VAPTAK (İTHAL),100 g/l Alpha-cypermethrin,EC (Emülsiye Olabilen Konsantre)
AVASTRA 200 SL (İMAL),200 g/l Glufosinate-ammonium tuzu,SL (Suda Çözünen Konsantre)
ROSETTA (İMAL),200 g/l Esfenvalerate,EC (Emülsiye Olabilen Konsantre)
DRİVEFASTER WG (İMAL),%25 Spinetoram,WG (Suda Dağılabilen Granül)
DIDYMME 125 FS (İMAL),"75 g/l Azoxystrobin + 37,5 g/l Metalaxyl-m + 12,5 g/l Fludioxonil",FS (Tohum İlaçlaması İçin Akıcı Konsantre)
BENEVENTO (İTHAL),"%30 Cymoxanil + %22,5 Famoxadone",WG (Suda Dağılabilen Granül)
SAFA KOMPEDAN 85 WG (İMAL),"%7,08 Pyroxsulam + %1,42 Florasulam + %7,08 Cloquintocet-mexyl (safener)",WG (Suda Dağılabilen Granül)
KORNİLOFOS 50 EC (İMAL),500 g/l Pirimiphos methyl,EC (Emülsiye Olabilen Konsantre)
QUELEX 200 WG (İTHAL),"10,42%(10ae%) Halauxifen-methyl + %10 Florasulam + %7,08 Cloquintocet-acid (Safener)",WG (Suda Dağılabilen Granül)
DELPHOS (İMAL),240 g/l Tau-fluvalinate,SC (Akıcı Konsantre/Süspansiyon Konsantre)
SİTİLO (İMAL),480 g/l Spinosad,SC (Akıcı Konsantre/Süspansiyon Konsantre)
BELLAGİO (İMAL),240 g/l Methoxyfenozide,SC (Akıcı Konsantre/Süspansiyon Konsantre)
AGRIPRO (İMAL),200 g/l Glufosinate-ammonium tuzu,SL (Suda Çözünen Konsantre)
AGNUPAN 70 WP (İTHAL),%70 Metribuzin,WP (Islanabilir Toz)
SHIKARI (İTHAL),%42 Metribuzin + %12 Clodinafop-Propargyl + %3 Cloquintocet-mexyl (Safener),WG (Suda Dağılabilen Granül)
CUTOFF 50 WG (İMAL),%50 Trifloxystrobin,WG (Suda Dağılabilen Granül)
MALCARA 76 WG (İMAL),%76 Ziram,WG (Suda Dağılabilen Granül)
AGNOTORİN 150 EC (İMAL),150 g/l Fosthiazate,EC (Emülsiye Olabilen Konsantre)
KORTHIAZATE 150 EC (İMAL),150 g/l Fosthiazate,EC (Emülsiye Olabilen Konsantre)
SANCTUM (İTHAL),"800 g/l Malathion + 12,8 g/l Gamma-cyhalothrin",EC (Emülsiye Olabilen Konsantre)
CALİXA (İMAL),240 g/l Metaflumizone,SC (Akıcı Konsantre/Süspansiyon Konsantre)
SİRYUS 240 SC (İTHAL),240 g/l Methoxyfenozide,SC (Akıcı Konsantre/Süspansiyon Konsantre)
CAZMA (İMAL),150 g/l Teflubenzuron,SC (Akıcı Konsantre/Süspansiyon Konsantre)
OFFSIDE 240 SC (İMAL),240 g/l Metaflumizone,SC (Akıcı Konsantre/Süspansiyon Konsantre)
SEDPRİN (İMAL),350 g/l Metalaxyl-m,ES (Emülsiyon Tohum İlacı)
HARLEM 40 SL (İMAL),40 g/l Imazamox,SL (Suda Çözünen Konsantre)
GRANAS SC (İMAL),250 g/l Glyphosate asite eşdeğer Glyphosate Isopropylamin Tuzu + 40 g/l Diflufenican,SC (Akıcı Konsantre/Süspansiyon Konsantre)
AQUA BORDO (İMAL),124 g/l Metalik bakıra eşdeğer bordo bulamacı,SC (Akıcı Konsantre/Süspansiyon Konsantre)
UDORA 4 OD (İTHAL),40 g/l Nicosulfuron,OD (Yağda Dağılabilen)
BLOCHER (İMAL),480 g/l Glyphosate Isopropylamin Tuzu,SL (Suda Çözünen Konsantre)
KIRNAPP 400 SC (İMAL),400 g/l Buprofezin,SC (Akıcı Konsantre/Süspansiyon Konsantre)
MYSTIC PRO 500 EC (İTHAL),300 g/l Prochloraz+ 200 g/l Tebuconazole,EC (Emülsiye Olabilen Konsantre)
CUBOX SC (İMAL),"65,82 g/l Metalik bakıra eşdeğer bakır sülfat",SC (Akıcı Konsantre/Süspansiyon Konsantre)
EFDAL APLANT (İMAL),45 g/l Pinoxaden + 20 g/l Cloquintocet-mexyl (safener),EC (Emülsiye Olabilen Konsantre)
GALİLEO (İMAL),240 g/l Oxyfluorfen,EC (Emülsiye Olabilen Konsantre)
"Boldist 2,5 EC (İMAL)",25 g/l Deltamethrin,EC (Emülsiye Olabilen Konsantre)
KURATOR 18-15 (İTHAL),%18 Fosetyl-Al + %15 Metalik Bakıra Eşdeğer Bordo Bulamacı,WP (Islanabilir Toz)
SCUBA 80 WG (İMAL),%80 Kükürt,WG (Suda Dağılabilen Granül)
DERRİS (İMAL),"%25,2 Boscalid + %12,8 Pyraclostrobin",WG (Suda Dağılabilen Granül)
EXPLORE 500 SL (İTHAL),500 g/l Metam Sodium,SL (Suda Çözünen Konsantre)
ERVANDO CS (İMAL),50 g/l Lambda-cyhalothrin,CS (Kapsül Süspansiyon)
AVERUT (İMAL),150 g/l Indoxacarb,SC (Akıcı Konsantre/Süspansiyon Konsantre)
CONSOLOS 20 EC (İMAL),200 g/l Esfenvalerate,EC (Emülsiye Olabilen Konsantre)
VEMİPHOS 10 G (İTHAL),%10 Fosthiazate,GR (Granül)
CROTONE (İMAL),"625 g/l Propamocarb-hydrochloride + 62,5 g/l Fluopicolide",SC (Akıcı Konsantre/Süspansiyon Konsantre)
MAXICURE (İMAL),100 g/l Buprofezin + 20 g/l Lambda-cyhalothrin,SC (Akıcı Konsantre/Süspansiyon Konsantre)
PUNZİX EC (İMAL),250 g/l Cypermethrin,EC (Emülsiye Olabilen Konsantre)
TROGEN (İTHAL),25 g/l Ipconazole + 20 g/l Metalaxyl,ME (Mikro-Emülsiyon)
GRAINPHOS TB (İTHAL),%57 Aluminium phosphide,DT (Direkt Uygulama İçin Tablet)
MANOHAR (İTHAL),%6 Metaldehyde,GB (Granül Yem)
SWARM 2 DS (İMAL),%2 Tebuconazole,DS (Kuru Tohum İlacı)
SAT BORDO MIX 20 WG (İTHAL),%20 Metalik bakıra eşdeğer bordo bulamacı,WG (Suda Dağılabilen Granül)
ASTRAN SC (İMAL),75 g/l Mesotrione + 30 g/l Nicosulfuron,SC (Akıcı Konsantre/Süspansiyon Konsantre)
PLATIX (İMAL),300 g/l Bromoxynil + 300 g/l MCPA,EC (Emülsiye Olabilen Konsantre)
BEST FORTE 80 WG (İMAL),%80 Thiram,WG (Suda Dağılabilen Granül)
SUPERDO 195 SC (İTHAL),"120 g/l Glyphosate Asit (132,1 g/l Glyphosate Ammonium tuzuna eşdeğer) + 60 g/l MCPA Asit (65,1 g/l Ammonium tuzuna eşdeğer) + 15 g/l Diflufenican",SC (Akıcı Konsantre/Süspansiyon Konsantre)
EFDAL VOTEXİT (İMAL),100 g/l Clopyralid,SL (Suda Çözünen Konsantre)
TAWATTIR 10 EC (İMAL),100 g/l Pyriproxyfen,EC (Emülsiye Olabilen Konsantre)
RAYAS (İTHAL),40 g/l Imazamox,SL (Suda Çözünen Konsantre)
EMAL S (İTHAL),960 g/l S-Metolachlor,EC (Emülsiye Olabilen Konsantre)
KORACTİVE 45 EC (İMAL),45 g/l Pinoxaden + 20 g/l Cloquintocet-mexyl (safener),EC (Emülsiye Olabilen Konsantre)
CURDASON 150 SC (İMAL),150 g/l Indoxacarb,SC (Akıcı Konsantre/Süspansiyon Konsantre)
COLT 20 EC (İMAL),200 g/l Esfenvalerate,EC (Emülsiye Olabilen Konsantre)
FLOMICE (İMAL),240 g/l Metaflumizone,SC (Akıcı Konsantre/Süspansiyon Konsantre)
MOTİVATÖR 100 SC (İMAL),100 g/l Spirotetramat,SC (Akıcı Konsantre/Süspansiyon Konsantre)
SAHNOVAR 2 (İMAL),"361,1 g/l Metalik bakıra eşdeğer bakır hidroksit",SC (Akıcı Konsantre/Süspansiyon Konsantre)
BARONES 70 WG (İMAL),%70 Dithianon,WG (Suda Dağılabilen Granül)
TOLEDO 430 SC (İTHAL),430 g/l Tebuconazole,SC (Akıcı Konsantre/Süspansiyon Konsantre)
DAGRO MİTE 20 WP (İMAL),%20 Pyridaben,WP (Islanabilir Toz)
KUPKOL 700 (İMAL),700 g/l Metalik bakıra eşdeğer bakır oksiklorid,SC (Akıcı Konsantre/Süspansiyon Konsantre)
KUTANA OPTİ (İMAL),%30 Metalik bakıra eşdeğer bakır hidroksit,WG (Suda Dağılabilen Granül)
JASOY 050 EC (İTHAL),50 g/l Lufenuron,EC (Emülsiye Olabilen Konsantre)
UMPRON (İTHAL),40 g/l Nicosulfuron,SC (Akıcı Konsantre/Süspansiyon Konsantre)
SELTICK 50 WP (İMAL),%50 Pirimicarb,WP (Islanabilir Toz)
PERSEPHONE 100 EC (İMAL),100 g/l Pyriproxyfen,EC (Emülsiye Olabilen Konsantre)
PHYTON 50 EC (İMAL),50 g/l Lufenuron,EC (Emülsiye Olabilen Konsantre)
BADLANS (İMAL),"%25,2 Boscalid + %12,8 Pyraclostrobin",WG (Suda Dağılabilen Granül)
HEKTAŞ CRASH (İMAL),"361,1 g/l Metalik bakıra eşdeğer bakır hidroksit",SC (Akıcı Konsantre/Süspansiyon Konsantre)
QUICKPHLO-R (İTHAL),"%77,5 Aluminium phosphide",GR (Granül)
CASIRGA 035 FS (İMAL),25 g/l Fludioxonil + 10 g/l Metalaxyl-m,FS (Tohum İlaçlaması İçin Akıcı Konsantre)
APPROX (İMAL),"85 g/l Pyraclostrobin + 62,5 g/l Epoxiconazole",SE (Suspo-Emülsiyon)
FUJION-S (İMAL),915 g/l S-Metolachlor + 45 g/l Benoxacor (safener),EC (Emülsiye Olabilen Konsantre)
DIFORCE (İTHAL),"%3,6 (E,Z)-7,9- Dodecadienyl acetate","EW (Emülsiyon, Suda Yağ)"
PROBZ (İMAL),100 g/l Penconazole,EC (Emülsiye Olabilen Konsantre)
MOBİTAR 35 (İMAL),25 g/l Fludioxonil + 10 g/l Metalaxyl-m,FS (Tohum İlaçlaması İçin Akıcı Konsantre)
ACETAMPLAN 20 SP (İMAL),%20 Acetamiprid,SP (Suda Çözünen Toz)
ABRADE 100 EC (İTHAL),100 g/l Alpha-cypermethrin,EC (Emülsiye Olabilen Konsantre)
SUNACET 20 SP (İTHAL),%20 Acetamiprid,SP (Suda Çözünen Toz)
CHEETAH (İMAL),200 g/l Glufosinate Ammonium Tuzu + 200 g/l MCPA + 40 g/l Diflufenican + 15 g/l Carfentrazone-ethyl,SC (Akıcı Konsantre/Süspansiyon Konsantre)
FULL-POINT 480 SC (İMAL),240 g/l Isoxaflutole +240 g/l Cyprosulfamide (safener),SC (Akıcı Konsantre/Süspansiyon Konsantre)
COROT (İMAL),"37,5 g/l Mesotrione + 15 g/l Nicosulfuron",SC (Akıcı Konsantre/Süspansiyon Konsantre)
TONITOM 25 SL (İTHAL),"18 g/l 2-(1-Naphthyl)acetamide (NAD) + 6,75 g/l 1-Naphthylacetic acid (NAA)",SL (Suda Çözünen Konsantre)
PİLERGARD (İMAL),480 g/l Bentazone,SL (Suda Çözünen Konsantre)
GİBBET SL (İMAL),20 g/l Gibberellic acid,SL (Suda Çözünen Konsantre)
CARIAL 43 WG (İTHAL),%25 Mandipropamid + %18 Cymoxanil,WG (Suda Dağılabilen Granül)
KYLEO 400 SL (İTHAL),"240 g/l Glyphosate Asit (323,9 g/l Glyphosate Isopropylamin Tuzuna eşdeğer) + 160 g/l 2,4-D Asit (371 g/l Alkylamidopropyl Dimethil Amin Tuzuna eşdeğer))",SL (Suda Çözünen Konsantre)
DAXORA (İMAL),400 g/l Buprofezin,SC (Akıcı Konsantre/Süspansiyon Konsantre)
TEMPOROMA (İMAL),"125 g/l Pendimethalin + 106,25 g/l Dimethenamid-P",EC (Emülsiye Olabilen Konsantre)
CALİCA (İMAL),%50 Captan,WP (Islanabilir Toz)
EPICK S WG 61 (İMAL),%30 Foramsulfuron + %1 Iodosulfuron methyl-sodium + %30 Isoxadifen-ethyl (safener),WG (Suda Dağılabilen Granül)
SANDEA (İMAL),"452,42 g/l 2,4-D 2-Ethylhexyl ester + 6,25 g/l Florasulam",SE (Suspo-Emülsiyon)
PRESSURE 74.8 SG (İTHAL),"%74,8 Glyphosate Ammonium Tuzu",SG (Suda Çözünen Granül)
CAPTEC (İMAL),%25 Metalik bakıra eşdeğer bakır sülfat,CR (Kristal)
ABSHERON 915 EC (İMAL),915 g/l S-Metolachlor + 45 g/l Benoxacor (safener),EC (Emülsiye Olabilen Konsantre)
AGROFARM CILIS (İMAL),"100 g/l Cyhalofop-butyl + 13,3 g/l Penoxsulam",OD (Yağda Dağılabilen)
GERİLLOS 48 SL (İMAL),480 g/l Glyphosate Isopropylamin Tuzu,SL (Suda Çözünen Konsantre)
MESUTAT X5 (İMAL),"500 g/l Clopyralid+50 g/l Tribenuron-methyl+22,5 g/l Florasulam",SL (Suda Çözünen Konsantre)
FORCOP 20 SP (İMAL),%20 Acetamiprid,SP (Suda Çözünen Toz)
LODAGYL (İMAL),10 g/l Forchlorfenuron,EC (Emülsiye Olabilen Konsantre)
PIXEL (İMAL),720 g/l Dimethenamid-p,EC (Emülsiye Olabilen Konsantre)
HEKTAŞ DESPİNA (İMAL),"18,8 g/l 6-Benzyladenine + 18,5 g/l Gibberellin A4/A7",SL (Suda Çözünen Konsantre)
MAVİ BORDO 10 SC (İMAL),124 g/l Metalik bakıra eşdeğer bordo bulamacı,SC (Akıcı Konsantre/Süspansiyon Konsantre)
MAVİ BORDO 20 WG (İMAL),%20 Metalik bakıra eşdeğer bordo bulamacı,WG (Suda Dağılabilen Granül)
AZBANY® 250 SC (İTHAL),250 g/l Azoxystrobin,SC (Akıcı Konsantre/Süspansiyon Konsantre)
PROMALIN (İTHAL),"18,8 g/l 6-Benzyladenine + 18,5 g/l Gibberellin A4/A7",SL (Suda Çözünen Konsantre)
GİFT 48 SL (İMAL),480 g/l Ethephon,SL (Suda Çözünen Konsantre)
EMATIN 5 SG (İTHAL),%5 Emamectin benzoate,SG (Suda Çözünen Granül)
"KORZAQUİN ® 62,5 WG (İMAL)","%37,5 Cyprodinil + %25 Fludioxonil",WG (Suda Dağılabilen Granül)
ROGER 70 WG (İTHAL),%70 Metribuzin,WG (Suda Dağılabilen Granül)
AQUATİS (İMAL),200 g/l Azoxystrobin + 125 g/l Difenoconazole,SC (Akıcı Konsantre/Süspansiyon Konsantre)
VAPCOMIC (İTHAL),18 g/l Abamectin,EC (Emülsiye Olabilen Konsantre)
PARADOKS EW (İMAL),75 g/l Fenoxaprop-p-ethyl + 69 g/l Mefenpyr-diethyl (safener),"EW (Emülsiyon, Suda Yağ)"
RUTABLE 20 SL (İMAL),20 g/l Gibberellic acid,SL (Suda Çözünen Konsantre)
FRSTANG (İMAL),"452,42 g/l 2,4-D 2-Ethylhexyl ester + 6,25 g/l Florasulam",SE (Suspo-Emülsiyon)
HERBOUT 48 SL (İMAL),480 g/l Glyphosate Isopropylamin Tuzu,SL (Suda Çözünen Konsantre)
Vefclaim 05 SG (İMAL),%5 Emamectin benzoate,SG (Suda Çözünen Granül)
SKYFER (İMAL),"%26,7 Boscalid + %6,7 Pyraclostrobin",WG (Suda Dağılabilen Granül)
DAMME 48 SL (İTHAL),480 g/l Glyphosate Isopropylamin Tuzu,SL (Suda Çözünen Konsantre)
PİRANA 5 SG (İTHAL),%5 Emamectin benzoate,SG (Suda Çözünen Granül)
DAFDİO 50 EW (İMAL),50 g/l Quizalofop-p-ethyl,"EW (Emülsiyon, Suda Yağ)"
TEZGUARD 600 (İMAL),600 g/l Phosphorous Acid (mono ve di-potasyum tuzları),SL (Suda Çözünen Konsantre)
POSS (İMAL),400 g/l Phosphorous Acid (mono ve di-potasyum tuzları),SL (Suda Çözünen Konsantre)
OHAYO (İMAL),"85 g/l Pyraclostrobin + 62,5 g/l Epoxiconazole",SE (Suspo-Emülsiyon)
ASKANCE 18 EC (İMAL),18 g/l Abamectin,EC (Emülsiye Olabilen Konsantre)
PİL-NANDA (İMAL),25 g/l Fludioxonil + 10 g/l Metalaxyl-m,FS (Tohum İlaçlaması İçin Akıcı Konsantre)
FLUNK 150 EC (İMAL),150 g/l Fosthiazate,EC (Emülsiye Olabilen Konsantre)
HADAF (İTHAL),240 g/l Oxyfluorfen,EC (Emülsiye Olabilen Konsantre)
ABG SUNN (İMAL),"%3,3 1-Methylcyclopropene",VP (Gaz Neşreden İlaç)
CHROMA 50 (İMAL),"51,3 g/l Cyflufenamid","EW (Emülsiyon, Suda Yağ)"
DELTARIN (İTHAL),25 g/l Deltamethrin,EC (Emülsiye Olabilen Konsantre)
PAVNI (İMAL),40 g/l Imazamox,SL (Suda Çözünen Konsantre)
